trade_date,ts_code,OPEN,CLOSE,VOLUME
2016-08-03,000300.SH,3179.68,3193.51,72864100.0
2016-08-04,000300.SH,3190.55,3201.29,73504400.0
2016-08-05,000300.SH,3201.35,3205.11,77196400.0
2016-08-08,000300.SH,3199.57,3234.18,86676000.0
2016-08-09,000300.SH,3232.6,3256.98,91065300.0
2016-08-10,000300.SH,3255.18,3243.34,90430400.0
2016-08-11,000300.SH,3239.56,3233.36,101041000.0
2016-08-12,000300.SH,3231.81,3294.23,116254000.0
2016-08-15,000300.SH,3303.47,3393.42,220543000.0
2016-08-16,000300.SH,3403.38,3378.25,196390000.0
2016-08-17,000300.SH,3377.77,3373.05,138848000.0
2016-08-18,000300.SH,3369.95,3364.49,142380000.0
2016-08-19,000300.SH,3358.55,3365.02,119962000.0
2016-08-22,000300.SH,3364.68,3336.79,107951000.0
2016-08-23,000300.SH,3332.62,3341.83,92924500.0
2016-08-24,000300.SH,3341.93,3329.86,81191400.0
2016-08-25,000300.SH,3314.08,3308.97,100589000.0
2016-08-26,000300.SH,3312.5,3307.09,81530700.0
2016-08-29,000300.SH,3306.57,3307.78,77036300.0
2016-08-30,000300.SH,3310.32,3311.99,75726000.0
2016-08-31,000300.SH,3310.57,3327.79,79570800.0
2016-09-01,000300.SH,3326.74,3301.58,84947200.0
2016-09-02,000300.SH,3298.72,3314.11,82791800.0
2016-09-05,000300.SH,3321.01,3319.68,78292500.0
2016-09-06,000300.SH,3322.02,3342.63,98284000.0
2016-09-07,000300.SH,3344.07,3340.82,102940000.0
2016-09-08,000300.SH,3338.01,3339.56,71916200.0
2016-09-09,000300.SH,3339.37,3318.04,82657000.0
2016-09-12,000300.SH,3271.87,3262.6,122918000.0
2016-09-13,000300.SH,3265.34,3260.33,67180300.0
2016-09-14,000300.SH,3245.74,3238.73,70432700.0
2016-09-19,000300.SH,3242.74,3263.12,58831100.0
2016-09-20,000300.SH,3264.66,3257.4,52784200.0
2016-09-21,000300.SH,3257.71,3266.64,59143000.0
2016-09-22,000300.SH,3281.47,3291.12,75753500.0
2016-09-23,000300.SH,3292.28,3275.67,57994000.0
2016-09-26,000300.SH,3267.69,3220.28,70452200.0
2016-09-27,000300.SH,3214.87,3240.75,58460600.0
2016-09-28,000300.SH,3243.65,3230.89,44727500.0
2016-09-29,000300.SH,3234.86,3244.39,55452600.0
2016-09-30,000300.SH,3240.18,3253.28,44978000.0
2016-10-10,000300.SH,3265.36,3293.87,80519300.0
2016-10-11,000300.SH,3296.87,3306.56,87713200.0
2016-10-12,000300.SH,3299.14,3300.01,68669800.0
2016-10-13,000300.SH,3299.16,3302.65,81224200.0
2016-10-14,000300.SH,3298.73,3305.85,82316300.0
2016-10-17,000300.SH,3305.96,3277.88,86113500.0
2016-10-18,000300.SH,3272.68,3321.33,102861000.0
2016-10-19,000300.SH,3323.3,3316.24,101168000.0
2016-10-20,000300.SH,3317.18,3318.6,79238900.0
2016-10-21,000300.SH,3315.72,3327.74,109785000.0
2016-10-24,000300.SH,3332.51,3367.58,153014000.0
2016-10-25,000300.SH,3367.48,3367.45,111192000.0
2016-10-26,000300.SH,3365.2,3354.8,98024800.0
2016-10-27,000300.SH,3351.46,3345.7,77629800.0
2016-10-28,000300.SH,3347.14,3340.13,93133300.0
2016-10-31,000300.SH,3332.41,3336.28,71352900.0
2016-11-01,000300.SH,3338.71,3359.05,74938200.0
2016-11-02,000300.SH,3350.71,3333.35,91197100.0
2016-11-03,000300.SH,3326.9,3365.08,126224000.0
2016-11-04,000300.SH,3362.21,3354.17,104070000.0
2016-11-07,000300.SH,3353.44,3356.59,99878000.0
2016-11-08,000300.SH,3367.7,3371.12,103148000.0
2016-11-09,000300.SH,3370.6,3353.05,139110000.0
2016-11-10,000300.SH,3374.91,3390.61,134706000.0
2016-11-11,000300.SH,3387.95,3417.22,198782000.0
2016-11-14,000300.SH,3409.22,3430.25,213247000.0
2016-11-15,000300.SH,3428.87,3429.87,134566000.0
2016-11-16,000300.SH,3432.43,3429.59,129809000.0
2016-11-17,000300.SH,3423.47,3436.53,121562000.0
2016-11-18,000300.SH,3437.49,3417.46,115951000.0
2016-11-21,000300.SH,3412.65,3441.11,146435000.0
2016-11-22,000300.SH,3443.22,3468.36,168523000.0
2016-11-23,000300.SH,3473.9,3474.73,162389000.0
2016-11-24,000300.SH,3468.81,3488.74,145746000.0
2016-11-25,000300.SH,3490.04,3521.3,153622000.0
2016-11-28,000300.SH,3538.68,3535.08,207375000.0
2016-11-29,000300.SH,3525.9,3564.04,236918000.0
